Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Main Hoon Hero Tera (Armaan Malik Version),4:44,Armaan Malik,Hero (Original Motion Picture Soundtrack),Bollywood,0,2,14/08/2015,2015,11,"19/06/2024, 8:56 AM","06/08/2020, 9:06 PM"
Main Kaun Hoon,7:10,Palash Sen,Lamhaa (Original Motion Picture Soundtrack),Bollywood,1,7,11/06/2010,2010,9,"19/06/2024, 10:18 AM","06/08/2020, 8:56 PM"
Main Naiyo Jaana.,3:56,Amrinder Gill & Alfaaz,Tu Mera 22 Mein Tera 22 (Original Motion Picture Soundtrack),Regional Indian,1,2,15/12/2012,2012,8,"30/09/2024, 8:43 AM","29/07/2023, 11:36 AM"
Main Sharabi,4:26,Imran Aziz Mian & Yo Yo Honey Singh,Cocktail (Original Motion Picture Soundtrack),Bollywood,0,3,15/06/2012,2012,3,"03/09/2024, 9:56 AM","20/01/2024, 8:59 PM"
Main Suneya,4:09,Ammy Virk,Main Suneya - Single,Punjabi Pop,0,,29/05/2020,2020,3,,"15/01/2024, 5:40 PM"
Main Wahi Hoon,2:50,Raftaar & Karma,Mr. Nair,Soundtrack,1,16,16/05/2019,2019,13,"10/09/2023, 9:00 AM","07/08/2020, 9:59 AM"
"Maiyya Mainu (From ""Jersey"")",3:52,Sachet-Parampara & Sachet Tandon,"Maiyya Mainu (From ""Jersey"") - Single",Bollywood,0,3,08/12/2021,2021,9,"12/07/2023, 8:08 AM","31/03/2022, 2:06 PM"
Make You Mine,3:53,PUBLIC,Make You Mine - Single,Pop,0,,07/10/2014,2014,5,,"03/03/2023, 7:49 PM"
Make You Mine,3:54,PUBLIC,Slow Songs For Relaxing,Pop,1,6,25/11/2019,2019,8,"07/09/2024, 7:34 AM","28/12/2020, 11:02 AM"
Make You Miss Me,3:46,Sam Hunt,Montevallo,Country,0,1,27/10/2014,2014,10,"02/08/2022, 12:21 PM","13/04/2022, 1:37 AM"
Makeba,4:09,Jain,Zanaka (Deluxe),Pop,0,7,22/06/2015,2015,9,"28/09/2024, 8:28 AM","29/06/2021, 7:49 PM"
Makhna,3:03,"Tanishk Bagchi, Yasser Desai & Asees Kaur",Drive (Original Motion Picture Soundtrack),Bollywood,1,6,03/10/2019,2019,17,"16/09/2022, 10:08 PM","31/08/2020, 10:22 AM"
Malang Sajna,2:41,Sachet Tandon & Parampara Tandon,Malang Sajna - Single,Indian Pop,0,16,18/12/2022,2022,7,"03/05/2024, 3:45 PM","12/03/2023, 7:07 PM"
